,env,algo,lr,beta,epsilon,avg_return,total_time,asymptotic_return
61,SpaceInvaders,sgd,0.020771273296967884,0.9786489928009657,7.102862491523287e-06,339.3737314214627,5962.092408895493,384.65
62,Breakout,sgd,0.020771273296967884,0.9786489928009657,7.102862491523287e-06,4.159596101255172,5467.939032077789,6.89
63,Qbert,sgd,0.020771273296967884,0.9786489928009657,7.102862491523287e-06,532.4956221307208,6429.395509004593,698.0
64,BeamRider,adam,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,1306.0067934782608,6006.448986291885,1556.2
65,SpaceInvaders,adam,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,462.13551678249297,6144.228434801102,719.3
66,Breakout,adam,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,85.01385508331774,6455.8560671806335,272.75
67,Qbert,adam,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,1809.9914602903502,5634.760737657547,4814.25
68,BeamRider,tdprop,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,1249.0812337098175,6707.074007511139,1500.28
69,SpaceInvaders,tdprop,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,509.55291454442556,9766.695203065872,658.2
70,Breakout,tdprop,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,28.363548163548163,9318.60943031311,95.22
71,Qbert,tdprop,0.000320047138086069,0.9786489928009657,7.102862491523287e-06,1960.4372334832642,8679.400340080261,3682.5
72,BeamRider,sgd,0.00037149533937161675,0.8365161813937371,2.1784628769647395e-05,230.9574795081967,6452.352747917175,257.84
73,SpaceInvaders,sgd,0.00037149533937161675,0.8365161813937371,2.1784628769647395e-05,288.28257887517145,4606.533725261688,280.05
74,Breakout,sgd,0.00037149533937161675,0.8365161813937371,2.1784628769647395e-05,2.6145351348016534,6834.824435472488,1.88
75,Qbert,sgd,0.00037149533937161675,0.8365161813937371,2.1784628769647395e-05,160.3417687621343,5325.246600866318,142.0
76,BeamRider,adam,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,1227.41536,6774.133026599884,1490.16
77,SpaceInvaders,adam,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,390.22643686449845,6516.062042236328,487.3
78,Breakout,adam,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,54.0422475408676,7270.747409105301,130.03
79,Qbert,adam,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,1694.962362478286,6540.893934726715,3534.75
80,BeamRider,tdprop,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,1171.6285310734463,8446.895018339157,1389.44
81,SpaceInvaders,tdprop,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,432.6119574370359,7016.930547714233,586.8
82,Breakout,tdprop,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,24.553678805486115,11741.083186864853,52.55
83,Qbert,tdprop,0.00021865536161970052,0.8365161813937371,2.1784628769647395e-05,1179.9448287220027,7110.517805099487,2435.75
84,BeamRider,sgd,0.0006584508678123353,0.5131671573460156,0.0002678407011491789,642.2328690807799,6015.377964019775,682.88
85,SpaceInvaders,sgd,0.0006584508678123353,0.5131671573460156,0.0002678407011491789,240.5031504818384,5534.211500406265,248.25
86,Breakout,sgd,0.0006584508678123353,0.5131671573460156,0.0002678407011491789,2.368336085121996,6408.833133459091,3.21
87,Qbert,sgd,0.0006584508678123353,0.5131671573460156,0.0002678407011491789,235.3295985702502,5910.14376449585,251.25
88,BeamRider,adam,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,965.2278249292727,5522.927161693573,1204.36
89,SpaceInvaders,adam,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,300.75299008168025,6168.022050142288,279.05
90,Breakout,adam,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,2.663787051482059,6718.034940481186,4.03
91,Qbert,adam,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,576.6074171604125,5767.265577077866,696.0
92,BeamRider,tdprop,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,931.1152027867629,9217.979302883148,1183.56
93,SpaceInvaders,tdprop,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,403.3639282473651,8467.231838941574,463.2
94,Breakout,tdprop,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,14.583119767640527,11751.789377689362,26.34
95,Qbert,tdprop,0.00014059192433399343,0.5131671573460156,0.0002678407011491789,552.890317323797,12155.757115125656,624.0
96,BeamRider,sgd,0.13484567229788574,0.5510330808675515,0.008168359833188872,904.4800988875154,8777.64252614975,1234.72
97,SpaceInvaders,sgd,0.13484567229788574,0.5510330808675515,0.008168359833188872,438.96197746812925,6408.591171979904,590.8
98,Breakout,sgd,0.13484567229788574,0.5510330808675515,0.008168359833188872,19.281790544082188,5135.196550607681,81.52
99,Qbert,sgd,0.13484567229788574,0.5510330808675515,0.008168359833188872,1604.1350152481286,6523.44887304306,2993.5
100,BeamRider,adam,0.00504120405133988,0.5510330808675515,0.008168359833188872,953.7393465909091,6179.180702209473,860.68
101,SpaceInvaders,adam,0.00504120405133988,0.5510330808675515,0.008168359833188872,424.9653860783568,6224.615489959717,521.8
102,Breakout,adam,0.00504120405133988,0.5510330808675515,0.008168359833188872,32.897019280279196,6039.229945898056,152.88
103,Qbert,adam,0.00504120405133988,0.5510330808675515,0.008168359833188872,991.9629803675856,5820.665050268173,2220.0
104,BeamRider,tdprop,0.00504120405133988,0.5510330808675515,0.008168359833188872,1387.7094890510948,6482.674515247345,1836.96
105,SpaceInvaders,tdprop,0.00504120405133988,0.5510330808675515,0.008168359833188872,463.7872083668544,7261.470199584961,519.85
106,Breakout,tdprop,0.00504120405133988,0.5510330808675515,0.008168359833188872,64.2416804961132,7197.277253866196,144.37
107,Qbert,tdprop,0.00504120405133988,0.5510330808675515,0.008168359833188872,957.5226089339545,7685.202234506607,999.5
108,BeamRider,sgd,0.08868308016987242,0.031430979027349815,0.005433059919154706,1135.5206176522197,4644.249418973923,1423.68
109,SpaceInvaders,sgd,0.08868308016987242,0.031430979027349815,0.005433059919154706,433.4245268620269,5938.532225608826,565.15
110,Breakout,sgd,0.08868308016987242,0.031430979027349815,0.005433059919154706,23.318945342971553,6505.892684698105,46.79
111,Qbert,sgd,0.08868308016987242,0.031430979027349815,0.005433059919154706,1178.2814921703812,7120.531747817993,3389.0
112,BeamRider,adam,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,538.0539919586445,7101.424434900284,581.12
113,SpaceInvaders,adam,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,308.54288176033936,6296.964868545532,323.7
114,Breakout,adam,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,3.278780149292922,7396.035322189331,4.87
115,Qbert,adam,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,356.2451014543238,5840.61998796463,500.75
116,BeamRider,tdprop,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,664.7313473626674,6751.567780017853,662.84
117,SpaceInvaders,tdprop,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,289.2923940149626,6830.209280252457,305.6
118,Breakout,tdprop,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,3.700223531802479,7061.2964589595795,4.79
119,Qbert,tdprop,7.736410686868063e-05,0.031430979027349815,0.005433059919154706,280.7688899914942,7683.165780544281,378.5
120,BeamRider,sgd,0.001017765507514575,0.08022462213030124,0.002852987095708939,289.64962744758276,5437.68697810173,228.36
121,SpaceInvaders,sgd,0.001017765507514575,0.08022462213030124,0.002852987095708939,261.47093783430404,5432.717798948288,241.05
122,Breakout,sgd,0.001017765507514575,0.08022462213030124,0.002852987095708939,1.0324182968341393,6888.56542301178,0.57
123,Qbert,sgd,0.001017765507514575,0.08022462213030124,0.002852987095708939,238.32465455738242,5636.077368736267,251.25
124,BeamRider,adam,0.0005648807609609275,0.08022462213030124,0.002852987095708939,1054.8217852684145,5455.294149398804,1353.2
125,SpaceInvaders,adam,0.0005648807609609275,0.08022462213030124,0.002852987095708939,309.87690504103165,5699.498427391052,355.3
126,Breakout,adam,0.0005648807609609275,0.08022462213030124,0.002852987095708939,20.216645391881542,6051.003392457962,70.75
127,Qbert,adam,0.0005648807609609275,0.08022462213030124,0.002852987095708939,567.2972355494632,5983.9052839279175,570.75
128,BeamRider,tdprop,0.0005648807609609275,0.08022462213030124,0.002852987095708939,969.4754230459307,6331.111247062683,1328.98
129,SpaceInvaders,tdprop,0.0005648807609609275,0.08022462213030124,0.002852987095708939,372.9200861025158,6912.950389623642,428.75
130,Breakout,tdprop,0.0005648807609609275,0.08022462213030124,0.002852987095708939,11.425878182404125,7367.504765748978,28.85
131,Qbert,tdprop,0.0005648807609609275,0.08022462213030124,0.002852987095708939,456.0478044472987,6511.786582708359,482.5
132,BeamRider,sgd,0.0005699121272022771,0.7354820499414713,0.014306837048784963,701.772226304188,5464.156874418259,692.56
133,SpaceInvaders,sgd,0.0005699121272022771,0.7354820499414713,0.014306837048784963,259.19236227583536,6421.048935651779,310.4
134,Breakout,sgd,0.0005699121272022771,0.7354820499414713,0.014306837048784963,1.4601287050856162,23562.18660712242,2.0
135,Qbert,sgd,0.0005699121272022771,0.7354820499414713,0.014306837048784963,136.58872498010652,8117.922605752945,178.75
136,BeamRider,adam,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,700.6958649376071,5180.382901906967,679.04
137,SpaceInvaders,adam,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,275.9811197916667,6901.451171875,347.7
138,Breakout,adam,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,2.5529172750936446,6913.091985464096,2.88
139,Qbert,adam,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,318.88123096650105,8809.173609972,324.75
140,BeamRider,tdprop,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,681.2820512820513,28488.23725128174,681.2820512820513
141,SpaceInvaders,tdprop,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,266.99166831977783,6499.036217927933,232.45
142,Breakout,tdprop,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,1.3145534137163044,7921.008582353592,2.02
143,Qbert,tdprop,2.070938849459864e-05,0.7354820499414713,0.014306837048784963,318.96486560033867,7609.985560417175,326.5
144,BeamRider,sgd,0.00014290561179096284,0.18982303842480897,6.834473071660098e-07,602.8182005353099,4865.851962327957,636.12
145,SpaceInvaders,sgd,0.00014290561179096284,0.18982303842480897,6.834473071660098e-07,292.89563457646716,6467.829321146011,278.15
146,Breakout,sgd,0.00014290561179096284,0.18982303842480897,6.834473071660098e-07,2.394697584832978,5802.411822319031,2.36
147,Qbert,sgd,0.00014290561179096284,0.18982303842480897,6.834473071660098e-07,138.78713030089176,5609.473555326462,159.25
148,BeamRider,adam,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,392.35388897026513,6432.294795751572,383.04
149,SpaceInvaders,adam,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,271.9526191877575,5207.930986881256,260.0
150,Breakout,adam,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,7.534288926363125,6830.669932603836,1.23
151,Qbert,adam,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,234.49909432910687,5119.78156542778,187.0
152,BeamRider,tdprop,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,623.3945345858241,7626.558515787125,641.06
153,SpaceInvaders,tdprop,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,254.27724828934507,9153.738507032394,249.5
154,Breakout,tdprop,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,9.347016116164033,9096.82948422432,10.29
155,Qbert,tdprop,0.0016851892348921616,0.18982303842480897,6.834473071660098e-07,159.4757275218583,9687.177250146866,152.25
156,BeamRider,sgd,0.4852032006618006,0.4588329645949867,0.04560399605531443,1265.580198019802,5769.538379192352,1403.6
157,SpaceInvaders,sgd,0.4852032006618006,0.4588329645949867,0.04560399605531443,390.88344581785094,6190.519579648972,518.9
158,Breakout,sgd,0.4852032006618006,0.4588329645949867,0.04560399605531443,33.130970302449704,5412.30092048645,120.53
159,Qbert,sgd,0.4852032006618006,0.4588329645949867,0.04560399605531443,925.2810880829015,4853.8931930065155,996.25
160,BeamRider,adam,0.007205077887336177,0.4588329645949867,0.04560399605531443,1307.9786545924967,5569.0844259262085,1596.72
161,SpaceInvaders,adam,0.007205077887336177,0.4588329645949867,0.04560399605531443,460.469005211169,5292.629252433777,578.7
162,Breakout,adam,0.007205077887336177,0.4588329645949867,0.04560399605531443,29.600759201188314,6593.575098276138,107.1
